week,VASP,Gaussian,TEXAS,Qdyn,LAMMPS,StagYY,ROMS,Python script,GPAW,unknown
2019-19,21.81,22.91,0.64,0.96,3.43,2.73,3.17,0.09,33.50,1.28
2019-20,17.40,25.72,0.38,17.52,2.94,4.59,0.74,0.15,15.89,4.72
2019-21,19.95,33.73,0.17,11.26,10.10,4.24,4.09,0.06,3.00,5.17
2019-22,21.02,22.36,0.00,14.46,9.29,3.61,4.47,0.92,5.63,10.16
2019-23,18.94,13.74,0.00,20.22,6.89,3.62,5.20,2.63,13.63,2.23
2019-24,26.37,8.64,0.00,20.59,14.48,2.33,0.48,1.34,0.34,5.21
2019-25,33.99,13.86,0.00,15.97,12.57,1.50,2.01,1.71,0.00,8.96
2019-26,32.32,17.64,17.79,1.71,3.68,2.67,1.09,3.12,0.00,6.70
2019-27,20.15,15.97,18.78,4.52,6.68,2.44,4.46,2.80,0.34,10.87
2019-28,18.37,10.14,28.61,6.58,14.12,2.22,0.68,0.97,3.13,6.65
2019-29,31.86,3.15,15.10,26.13,6.37,1.32,3.36,3.01,0.06,3.42
2019-30,25.70,4.02,16.52,26.96,5.80,1.21,1.42,0.17,1.41,6.45
2019-31,38.27,7.05,21.99,7.72,0.53,3.03,3.76,1.48,0.19,2.80
2019-32,41.56,12.27,1.13,0.00,15.87,3.97,1.95,6.07,1.09,2.61
2019-33,26.04,16.29,6.80,4.52,16.70,4.51,3.51,3.80,0.63,3.21
2019-34,14.67,10.91,39.53,1.55,3.50,3.27,0.49,4.06,1.72,3.70
2019-35,9.59,16.18,35.15,3.62,12.14,2.07,1.44,1.38,0.00,3.84
2019-36,20.11,9.95,25.80,9.28,6.05,3.41,0.68,2.05,0.12,6.69
2019-37,29.68,13.94,15.99,9.38,4.60,4.62,1.81,1.07,0.00,3.56
2019-38,14.61,12.35,23.47,17.16,10.01,5.00,4.87,0.01,0.00,3.80
2019-39,17.95,13.91,13.43,8.87,17.46,4.81,3.51,0.21,0.00,3.95
2019-40,20.53,14.04,6.15,19.01,11.82,3.18,5.20,2.95,0.00,3.49
2019-41,36.90,14.93,0.07,0.36,10.20,4.04,10.09,0.91,0.00,10.97
2019-42,34.58,15.44,0.00,12.86,7.21,4.16,1.32,1.76,0.00,4.87
2019-43,37.46,15.63,0.01,11.98,9.82,1.81,1.52,1.78,0.00,5.98
2019-44,52.85,15.36,0.00,7.90,7.47,2.47,2.99,2.46,0.00,3.20
2019-45,56.43,20.81,0.00,0.01,4.61,3.49,0.00,3.40,0.00,4.39
2019-46,56.18,16.75,0.31,0.00,2.48,6.86,0.00,3.95,0.77,7.00
2019-47,46.50,19.19,1.45,3.07,3.96,7.03,0.00,3.05,0.05,6.93
2019-48,34.15,22.64,5.72,3.32,10.75,4.52,0.00,1.57,0.00,3.02
2019-49,32.37,22.82,0.00,0.00,24.20,4.12,0.00,0.29,0.00,4.88
2019-50,35.70,21.43,2.97,0.00,11.91,7.06,0.71,0.13,0.00,3.57
2019-51,26.29,15.74,3.45,20.71,5.31,9.42,0.02,0.69,0.32,4.68
2019-52,61.75,5.09,3.26,0.00,0.72,12.99,0.00,0.07,0.34,2.13
