date,Gaussian,VASP,GPAW,Qdyn,LAMMPS,StagYY,GROMACS,ROMS,Orca,unknown
2019-05-10,20.54,29.41,30.10,0.03,2.09,2.15,3.86,3.34,2.05,1.21
2019-05-11,17.38,22.40,35.81,2.07,2.95,2.43,2.81,3.13,1.87,2.45
2019-05-12,29.15,19.21,32.05,0.08,4.27,3.20,1.40,3.17,2.11,1.56
2019-05-13,22.17,15.47,38.65,1.54,3.46,5.39,2.21,3.14,1.73,2.06
2019-05-14,28.38,19.06,29.46,3.01,2.73,4.37,1.54,1.46,0.95,5.48
2019-05-15,31.28,14.84,16.45,18.86,2.06,1.19,0.41,0.00,0.74,12.38
2019-05-16,32.54,15.14,10.80,27.77,3.01,1.13,0.76,0.00,0.46,4.23
2019-05-17,21.89,16.08,0.49,47.72,1.86,2.10,1.17,0.05,0.47,0.83
2019-05-18,19.72,16.11,0.00,27.23,1.96,8.41,11.29,0.00,1.04,4.81
2019-05-19,23.12,25.91,8.28,0.76,5.63,10.41,9.20,0.00,2.37,6.34
2019-05-20,29.28,22.43,18.00,0.24,6.65,5.15,4.20,0.01,5.49,4.17
2019-05-21,41.48,20.62,1.96,2.28,5.36,3.19,6.03,0.13,4.98,11.49
2019-05-22,45.92,12.61,0.60,6.30,5.67,5.39,0.84,8.12,4.67,6.59
2019-05-23,37.99,10.94,0.03,25.03,4.90,2.42,0.06,5.69,2.75,6.83
2019-05-24,26.15,21.53,0.00,25.35,8.81,3.38,0.01,3.77,1.74,5.15
2019-05-25,30.99,32.05,0.20,6.21,11.29,6.79,0.05,3.82,1.02,3.55
2019-05-26,36.44,17.52,0.19,5.65,22.64,5.29,0.93,6.42,0.99,1.50
